from,to,attckTacticID,attckTechniqueID,label
1378072,1180000,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1573912,1180000,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2097984,1180000,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2228424,1180000,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2297144,1180000,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2362680,1180000,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2491928,1180000,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2754072,1180000,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1115160,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1180696,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1246232,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1247000,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1442840,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1574680,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1703984,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1704768,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1705752,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1769520,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1770304,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1771288,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1835056,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1835840,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1901376,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1902024,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1967560,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2031664,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2031816,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2097352,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2098496,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2162736,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2162888,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2163040,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2166072,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2228576,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2231608,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2360856,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2426392,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2493752,1245536,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1311768,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1312536,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1377304,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1443608,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1508376,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1509144,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1640216,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1900592,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1966128,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
1966912,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2032448,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2097200,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2163520,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2164032,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2228272,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2293960,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2359496,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2428216,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2557464,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2559288,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2623000,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2624824,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2688536,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2690360,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2755896,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)
2819608,1639960,TA0007,T1613,VOLUME_ACCESS (Volume to Node)